"id","any","ordre","tipusDesplacament","horaIn","minutIn","duradaMinuts","distancia","comarcaIn","comarcaFi","internMunicipi","mitja1","mitja2","mitja3","mitjaPrincipal","antiguitatCotxeMoto","antiguitatFurgoCamio","combustible","numPersonesVehicle","sexe","edat","comarca","estudis"
"2022000001","2022","1","Oci, diversió, espectacles, cinemes, restaurants, esports","9","0","15","2","Barcelonès","Barcelonès","1","Caminant",NULL,NULL,"Peu >5 minuts"," "," ",NULL," ","Home","16-29","Barcelonès","Primaris"
"2022000001","2022","2","Domicili","11","0","15","2","Barcelonès","Barcelonès","1","Caminant",NULL,NULL,"Peu >5 minuts"," "," ",NULL," ","Home","16-29","Barcelonès","Primaris"
"2022000001","2022","3","Recollir paquests de comerç-e","13","0","60","4","Barcelonès","Barcelonès","0","Altres autobús (urbà no TMB i/o interurbà)","Caminant",NULL,"Altres autobús"," "," ",NULL," ","Home","16-29","Barcelonès","Primaris"
"2022000001","2022","4","Domicili","14","15","60","4","Barcelonès","Barcelonès","0","Caminant","Altres autobús (urbà no TMB i/o interurbà)",NULL,"Altres autobús"," "," ",NULL," ","Home","16-29","Barcelonès","Primaris"
"2022000001","2022","5","Anar a treballar","16","30","15","2","Barcelonès","Barcelonès","1","Caminant",NULL,NULL,"Peu >5 minuts"," "," ",NULL," ","Home","16-29","Barcelonès","Primaris"
"2022000001","2022","6","Domicili","23","0","15","2","Barcelonès","Barcelonès","1","Caminant",NULL,NULL,"Peu >5 minuts"," "," ",NULL," ","Home","16-29","Barcelonès","Primaris"
"2022000002","2022","1","Oci, diversió, espectacles, cinemes, restaurants, esports","19","30","6","3","Barcelonès","Barcelonès","1","Patinet, segway o altres ginys",NULL,NULL,"Altres no motoritzats"," "," ",NULL," ","Home","16-29","Barcelonès","Primaris"
"2022000002","2022","2","Domicili","21","30","7","3","Barcelonès","Barcelonès","1","Patinet, segway o altres ginys",NULL,NULL,"Altres no motoritzats"," "," ",NULL," ","Home","16-29","Barcelonès","Primaris"
"2022000003","2022","1","Anar a treballar","12","0","10","2","Barcelonès","Barcelonès","1","Caminant","Autobús TMB",NULL,"Autobús TMB"," "," ",NULL," ","Home","16-29","Barcelonès","Secundaris"
"2022000003","2022","2","Domicili","16","0","30","2","Barcelonès","Barcelonès","1","Caminant",NULL,NULL,"Peu >5 minuts"," "," ",NULL," ","Home","16-29","Barcelonès","Secundaris"
"2022000003","2022","3","Anar a treballar","18","15","23","2","Barcelonès","Barcelonès","1","Caminant",NULL,NULL,"Peu >5 minuts"," "," ",NULL," ","Home","16-29","Barcelonès","Secundaris"
